"","YEAR","POP2PVOT","ECVOTE","JULYPOP","GNPCHAN"
"1",1948,52.37,57.1,39,2.42
"2",1952,44.6,16.8,32,0.07
"3",1956,57.76,86.1,69,0.26
"4",1960,49.91,40.8,49,1.42
"5",1964,61.34,90.3,74,3.11
"6",1968,49.6,35.5,40,2.88
"7",1972,61.79,96.7,56,4.18
"8",1976,48.95,44.6,45,2.33
"9",1980,44.7,9.1,21,-1.38
"10",1984,59.17,97.6,52,3.95
"11",1988,53.9,79.2,51,1.91
"12",1992,46.55,31.2,32,1.46
"13",1996,54.74,70.45,57,1.85
"14",2000,50.3,49.53,59,2.52
"15",2004,51.5,53.16,47,4.41
"16",2008,45.7,32.15,32,-1.2
